date,amount,account_code,account_name,vendor,description,journal_ref
2024-07-19,989.72,6060,Marketing Expense,Globex Corp,Vendor payment,JE-00358
2024-01-25,3323.12,6020,Software Subscriptions,Stark Industries,Monthly invoice,JE-00586
2024-03-13,1768.49,6050,Utilities Expense,Wayne Enterprises,Supplies purchase,JE-00650
2024-04-30,751.34,6090,Office Supplies,Wayne Enterprises,Maintenance work,JE-00514
2024-04-13,4800.0,7010,Bank Fees,Brightway Group #8246,,JE-00796
2024-02-19,3814.35,6040,Rent Expense,Globex Corp,Equipment rental,JE-00037
2024-10-20,24000.0,6050,Utilities Expense,Quantum Ventures #6451,,JE-00742
2024-05-16,4363.62,6020,Software Subscriptions,Cyberdyne Systems,Consulting fee,JE-00162
2024-11-07,4346.52,6050,Utilities Expense,Initech LLC,Consulting fee,JE-00109
2024-02-06,1315.93,6090,Office Supplies,Stark Industries,,JE-00690
2024-02-12,1420.92,4020,Service Revenue,Vandelay Imports,Contract milestone,JE-00090
2024-12-23,24000.0,6060,Marketing Expense,Vista Trading Co #5831,,JE-00719
2024-03-06,1413.12,5010,Cost of Goods Sold,Hooli Inc,Contract milestone,JE-00428
2024-01-09,1272.37,6090,Office Supplies,Globex Corp,Contract milestone,JE-00311
2024-01-16,6064.76,6030,Insurance Expense,Hooli Inc,Service charge,JE-00216
2024-01-28,9600.0,6090,Office Supplies,Vista Trading Co #4894,,JE-00754
2024-11-07,5694.32,6010,Professional Fees,Tyrell Corp,Monthly invoice,JE-00128
2024-05-15,1233.48,4020,Service Revenue,Cyberdyne Systems,Supplies purchase,JE-00637
2024-08-09,1016.97,6060,Marketing Expense,Umbrella Co,Service charge,JE-00017
2024-12-25,6662.16,6050,Utilities Expense,Stark Industries,Supplies purchase,JE-00006
2024-05-09,3295.3,6080,Repairs & Maintenance,Initech LLC,Maintenance work,JE-00068
2024-05-11,4800.0,6040,Rent Expense,Northwind Co #2229,,JE-00733
2024-02-06,3325.33,7010,Bank Fees,Cyberdyne Systems,Consulting fee,JE-00155
2024-07-11,5654.41,6030,Insurance Expense,Cyberdyne Systems,Consulting fee,JE-00120
2024-10-07,4571.18,6070,Travel & Entertainment,Tyrell Corp,Equipment rental,JE-00525
2024-02-26,2580.68,4010,Sales Revenue,Tyrell Corp,Reimbursement,JE-00459
2024-02-02,3692.49,6080,Repairs & Maintenance,Cyberdyne Systems,Consulting fee,JE-00627
2024-01-11,3616.15,6070,Travel & Entertainment,Acme Supplies,Maintenance work,JE-00076
2024-12-21,24000.0,6090,Office Supplies,Maple Holdings #3827,,JE-00729
2024-04-09,1123.83,5010,Cost of Goods Sold,Wayne Enterprises,Maintenance work,JE-00340
2024-07-09,962.84,6090,Office Supplies,Soylent Foods,Supplies purchase,JE-00386
2024-06-03,1786.83,6020,Software Subscriptions,Soylent Foods,Consulting fee,JE-00002
2024-10-23,20673.51,6010,Professional Fees,Soylent Foods,Maintenance work,JE-00708
2024-06-12,6181.78,6080,Repairs & Maintenance,Vandelay Imports,Contract milestone,JE-00078
2024-07-08,1290.22,4020,Service Revenue,Acme Supplies,Reimbursement,JE-00345
2024-07-28,1048.19,5010,Cost of Goods Sold,Acme Supplies,Service charge,JE-00691
2024-03-21,8174.89,6030,Insurance Expense,Tyrell Corp,Monthly invoice,JE-00403
2024-07-05,4936.22,6080,Repairs & Maintenance,Tyrell Corp,Equipment rental,JE-00255
2024-08-22,5159.08,6070,Travel & Entertainment,Wayne Enterprises,Equipment rental,JE-00548
2024-01-27,9600.0,6050,Utilities Expense,Vista Trading Co #7257,,JE-00751
