date,amount,account_code,account_name,vendor,description,journal_ref
2024-02-20,3442.2,6030,Fundraising,Soylent Foods,Maintenance work,JE-00111
2024-11-29,3589.4,6030,Fundraising,Soylent Foods,Contract milestone,JE-00090
2024-08-14,3444.71,6070,Professional Fees,Acme Supplies,Subscription renewal,JE-00292
2024-10-30,2379.4,6030,Fundraising,Acme Supplies,Consulting fee,JE-00127
2024-06-26,2968.19,6050,Occupancy,Acme Supplies,Contract milestone,JE-00448
2024-10-11,19306.44,6050,Occupancy,Initech LLC,Maintenance work,JE-00523
2024-08-09,2215.07,6030,Fundraising,Cyberdyne Systems,Consulting fee,JE-00442
2024-06-03,2667.88,6030,Fundraising,Wayne Enterprises,Service charge,JE-00480
2024-03-18,1922.01,6010,Program Services,Wayne Enterprises,Supplies purchase,JE-00302
2024-06-03,1803.87,6060,Office Supplies,Initech LLC,Service charge,JE-00307
2024-10-30,3608.25,4010,Donations & Contributions,Vandelay Imports,Supplies purchase,JE-00468
2024-01-25,5607.28,6040,Salaries & Wages,Acme Supplies,Supplies purchase,JE-00276
2024-12-17,4774.78,6070,Professional Fees,Soylent Foods,Subscription renewal,JE-00178
2024-08-08,2919.88,4010,Donations & Contributions,Soylent Foods,Consulting fee,JE-00224
2024-10-22,3283.53,6070,Professional Fees,Umbrella Co,Supplies purchase,JE-00006
2024-07-02,1995.3,6080,Travel,Massive Dynamic,Service charge,JE-00398
2024-03-19,5673.8,4030,Program Service Fees,Vandelay Imports,Contract milestone,JE-00022
2024-01-19,1235.4,6060,Office Supplies,Tyrell Corp,Reimbursement,JE-00422
2024-07-16,2719.3,6040,Salaries & Wages,Vandelay Imports,Subscription renewal,JE-00123
2024-07-01,4868.56,4030,Program Service Fees,Wayne Enterprises,Maintenance work,JE-00170
2024-09-17,3892.45,4010,Donations & Contributions,Globex Corp,Subscription renewal,JE-00065
2024-02-27,859.48,7010,Bank Fees,Tyrell Corp,Contract milestone,JE-00483
2024-09-26,969.5,7010,Bank Fees,Cyberdyne Systems,Supplies purchase,JE-00028
2024-03-13,2992.06,6070,Professional Fees,Cyberdyne Systems,Contract milestone,JE-00478
2024-04-05,7961.84,6080,Travel,Wayne Enterprises,Subscription renewal,JE-00516
2024-04-03,1756.01,6080,Travel,Wayne Enterprises,Service charge,JE-00408
2024-11-08,4972.15,6020,Management & General,Stark Industries,Equipment rental,JE-00115
2024-07-15,6510.06,6040,Salaries & Wages,Initech LLC,Reimbursement,JE-00094
2024-04-16,4430.87,6070,Professional Fees,Maple Holdings #7534,Equipment rental,JE-00508
