date,amount,account_code,account_name,vendor,description,journal_ref
2024-06-06,24250.0,6020,Software Subscriptions,Tyrell Corp,Consulting fee,JE-00444
2024-12-16,1658.15,6050,Utilities Expense,Initech LLC,Service charge,JE-00293
2024-08-07,3489.22,6030,Insurance Expense,Soylent Foods,Vendor payment,JE-00136
2024-01-16,1117.75,4010,Sales Revenue,Wayne Enterprises,Equipment rental,JE-00220
2024-05-13,1181.13,6050,Utilities Expense,Stark Industries,Monthly invoice,JE-00185
2024-08-30,1344.64,6050,Utilities Expense,Cyberdyne Systems,Service charge,JE-00434
2024-12-17,977.7,6040,Rent Expense,Wayne Enterprises,Monthly invoice,JE-00313
2024-01-05,5902.17,6030,Insurance Expense,Acme Supplies,Subscription renewal,JE-00258
2024-07-17,5410.71,6070,Travel & Entertainment,Wayne Enterprises,Service charge,JE-00277
2024-12-09,3210.57,4020,Service Revenue,Tyrell Corp,Supplies purchase,JE-00330
2024-10-21,7050.09,6030,Insurance Expense,Vandelay Imports,Monthly invoice,JE-00295
2024-07-31,1660.32,4010,Sales Revenue,Acme Supplies,Equipment rental,JE-00208
2024-02-28,584.97,6010,Professional Fees,Hooli Inc,Consulting fee,JE-00211
2024-08-08,6153.91,7010,Bank Fees,Acme Supplies,Equipment rental,JE-00332
2024-07-26,6051.72,6060,Marketing Expense,Massive Dynamic,Contract milestone,JE-00190
2024-06-26,2416.69,4020,Service Revenue,Soylent Foods,Subscription renewal,JE-00435
2024-10-15,6267.65,6030,Insurance Expense,Umbrella Co,Subscription renewal,JE-00257
2024-10-22,5011.95,6070,Travel & Entertainment,Hooli Inc,Service charge,JE-00040
2024-05-09,2959.22,4020,Service Revenue,Hooli Inc,Vendor payment,JE-00163
2024-05-05,5977.15,6060,Marketing Expense,Acme Supplies,Equipment rental,JE-00439
2024-06-06,2966.45,6080,Repairs & Maintenance,Wayne Enterprises,Consulting fee,JE-00198
2024-01-20,6461.38,6030,Insurance Expense,Vandelay Imports,Equipment rental,JE-00438
2024-07-17,1478.99,6020,Software Subscriptions,Hooli Inc,Subscription renewal,JE-00390
2024-10-07,1046.14,6020,Software Subscriptions,Umbrella Co,Service charge,JE-00310
2024-11-13,4308.77,6070,Travel & Entertainment,Cyberdyne Systems,Reimbursement,JE-00263
2024-10-02,6602.94,6030,Insurance Expense,Hooli Inc,Supplies purchase,JE-00395
2024-09-20,973.82,6050,Utilities Expense,Initech LLC,Reimbursement,JE-00005
2024-02-19,3632.02,5010,Cost of Goods Sold,Umbrella Co,Monthly invoice,JE-00357
2024-07-16,4016.49,6080,Repairs & Maintenance,Soylent Foods,Consulting fee,JE-00218
2024-06-27,1001.61,4010,Sales Revenue,Acme Supplies,Vendor payment,JE-00287
2024-10-10,1059.14,6040,Rent Expense,Vandelay Imports,Subscription renewal,JE-00405
2024-10-15,5893.71,6030,Insurance Expense,Initech LLC,Vendor payment,JE-00325
2024-02-14,1822.67,6020,Software Subscriptions,Cyberdyne Systems,Maintenance work,JE-00297
2024-02-12,4023.07,5010,Cost of Goods Sold,Tyrell Corp,Subscription renewal,JE-00259
2024-08-08,1261.68,4010,Sales Revenue,Globex Corp,Equipment rental,JE-00370
2024-05-24,4096.81,6060,Marketing Expense,Vandelay Imports,Maintenance work,JE-00212
2024-08-13,5303.58,6060,Marketing Expense,Globex Corp,Supplies purchase,JE-00437
2024-07-03,2044.56,4020,Service Revenue,Cyberdyne Systems,Reimbursement,JE-00058
2024-10-29,4304.09,6090,Office Supplies,Umbrella Co,Vendor payment,JE-00138
2024-11-08,1040.17,6010,Professional Fees,Initech LLC,Consulting fee,JE-00021
2024-04-04,4145.0,6090,Office Supplies,Initech LLC,Service charge,JE-00229
2024-11-11,6448.79,6070,Travel & Entertainment,Hooli Inc,Equipment rental,JE-00376
2024-03-08,6099.79,6060,Marketing Expense,Stark Industries,Service charge,JE-00061
2024-06-25,6721.42,6030,Insurance Expense,Soylent Foods,Reimbursement,JE-00181
2024-12-11,1505.25,6020,Software Subscriptions,Stark Industries,Subscription renewal,JE-00286
2024-07-04,3380.52,6080,Repairs & Maintenance,Massive Dynamic,Monthly invoice,JE-00071
2024-06-05,846.18,6010,Professional Fees,Massive Dynamic,Vendor payment,JE-00199
